season,region,direction,value
heating,1,top,1.0
heating,1,north,0.26
heating,1,east,0.564
heating,1,south,0.935
heating,1,west,0.535
heating,1,bottom,0.0
heating,2,top,1.0
heating,2,north,0.263
heating,2,east,0.554
heating,2,south,0.856
heating,2,west,0.544
heating,2,bottom,0.0
heating,3,top,1.0
heating,3,north,0.284
heating,3,east,0.54
heating,3,south,0.851
heating,3,west,0.542
heating,3,bottom,0.0
heating,4,top,1.0
heating,4,north,0.256
heating,4,east,0.531
heating,4,south,0.815
heating,4,west,0.527
heating,4,bottom,0.0
heating,5,top,1.0
heating,5,north,0.238
heating,5,east,0.568
heating,5,south,0.983
heating,5,west,0.538
heating,5,bottom,0.0
heating,6,top,1.0
heating,6,north,0.261
heating,6,east,0.579
heating,6,south,0.936
heating,6,west,0.523
heating,6,bottom,0.0
heating,7,top,1.0
heating,7,north,0.227
heating,7,east,0.543
heating,7,south,1.023
heating,7,west,0.548
heating,7,bottom,0.0
heating,8,top,1.0
heating,8,north,0.0
heating,8,east,0.0
heating,8,south,0.0
heating,8,west,0.0
heating,8,bottom,0.0
cooling,1,top,1.0
cooling,1,north,0.329
cooling,1,east,0.545
cooling,1,south,0.502
cooling,1,west,0.508
cooling,1,bottom,0.0
cooling,2,top,1.0
cooling,2,north,0.341
cooling,2,east,0.503
cooling,2,south,0.507
cooling,2,west,0.529
cooling,2,bottom,0.0
cooling,3,top,1.0
cooling,3,north,0.335
cooling,3,east,0.468
cooling,3,south,0.476
cooling,3,west,0.553
cooling,3,bottom,0.0
cooling,4,top,1.0
cooling,4,north,0.322
cooling,4,east,0.518
cooling,4,south,0.437
cooling,4,west,0.481
cooling,4,bottom,0.0
cooling,5,top,1.0
cooling,5,north,0.373
cooling,5,east,0.5
cooling,5,south,0.472
cooling,5,west,0.518
cooling,5,bottom,0.0
cooling,6,top,1.0
cooling,6,north,0.341
cooling,6,east,0.512
cooling,6,south,0.434
cooling,6,west,0.504
cooling,6,bottom,0.0
cooling,7,top,1.0
cooling,7,north,0.307
cooling,7,east,0.509
cooling,7,south,0.412
cooling,7,west,0.495
cooling,7,bottom,0.0
cooling,8,top,1.0
cooling,8,north,0.325
cooling,8,east,0.515
cooling,8,south,0.48
cooling,8,west,0.505
cooling,8,bottom,0.0
