building_type,part,direction,space,area
apartment,env,top,MR,24.23
apartment,env,top,OR,29.75
apartment,env,top,NR,16.02
apartment,env,top,UF,0.0
apartment,env,north,MR,0.0
apartment,env,north,OR,11.8
apartment,env,north,NR,4.16
apartment,env,north,UF,0.0
apartment,env,east,MR,0.0
apartment,env,east,OR,21.59
apartment,env,east,NR,8.05
apartment,env,east,UF,0.0
apartment,env,south,MR,9.52
apartment,env,south,OR,6.45
apartment,env,south,NR,0.0
apartment,env,south,UF,0.0
apartment,env,west,MR,17.21
apartment,env,west,OR,10.06
apartment,env,west,NR,2.37
apartment,env,west,UF,0.0
apartment,env,bottom,MR,24.23
apartment,env,bottom,OR,29.75
apartment,env,bottom,NR,16.02
apartment,env,bottom,UF,0.0
apartment,win,north,MR,0.0
apartment,win,north,OR,2.53
apartment,win,north,NR,0.0
apartment,win,east,MR,0.0
apartment,win,east,OR,0.0
apartment,win,east,NR,0.0
apartment,win,south,MR,4.52
apartment,win,south,OR,3.24
apartment,win,south,NR,0.0
apartment,win,west,MR,0.0
apartment,win,west,OR,0.0
apartment,win,west,NR,0.0
apartment,door,north,MR,0.0
apartment,door,north,OR,0.0
apartment,door,north,NR,1.76
apartment,door,east,MR,0.0
apartment,door,east,OR,0.0
apartment,door,east,NR,0.0
apartment,door,south,MR,0.0
apartment,door,south,OR,0.0
apartment,door,south,NR,0.0
apartment,door,west,MR,0.0
apartment,door,west,OR,0.0
apartment,door,west,NR,0.0
detached,env,top,MR,0.0
detached,env,top,OR,34.79
detached,env,top,NR,17.4
detached,env,top,UF,0.0
detached,env,north,MR,5.12
detached,env,north,OR,6.77
detached,env,north,NR,39.08
detached,env,north,UF,2.81
detached,env,east,MR,17.2
detached,env,east,OR,8.74
detached,env,east,NR,4.36
detached,env,east,UF,3.28
detached,env,south,MR,14.21
detached,env,south,OR,29.26
detached,env,south,NR,0.0
detached,env,south,UF,2.91
detached,env,west,MR,0.0
detached,env,west,OR,17.48
detached,env,west,NR,13.2
detached,env,west,UF,3.28
detached,env,bottom,MR,29.81
detached,env,bottom,OR,16.56
detached,env,bottom,NR,21.53
detached,env,bottom,UF,55.48
detached,win,north,MR,0.0
detached,win,north,OR,4.59
detached,win,north,NR,3.15
detached,win,east,MR,3.13
detached,win,east,OR,0.66
detached,win,east,NR,0.0
detached,win,south,MR,6.94
detached,win,south,OR,8.17
detached,win,south,NR,0.0
detached,win,west,MR,0.0
detached,win,west,OR,0.99
detached,win,west,NR,1.08
detached,door,north,MR,1.62
detached,door,north,OR,0.0
detached,door,north,NR,1.76
detached,door,east,MR,0.0
detached,door,east,OR,0.0
detached,door,east,NR,0.0
detached,door,south,MR,0.0
detached,door,south,OR,0.0
detached,door,south,NR,0.0
detached,door,west,MR,0.0
detached,door,west,OR,0.0
detached,door,west,NR,1.89
