building_type,space1,space2,area
apartment,MR,MR,0.0
apartment,MR,OR,0.0
apartment,MR,NR,0.0
apartment,MR,UF,0.0
apartment,OR,MR,0.0
apartment,OR,OR,0.0
apartment,OR,NR,0.0
apartment,OR,UF,0.0
apartment,NR,MR,0.0
apartment,NR,OR,0.0
apartment,NR,NR,0.0
apartment,NR,UF,0.0
detached,MR,MR,0.0
detached,MR,OR,0.0
detached,MR,NR,0.0
detached,MR,UF,29.81
detached,OR,MR,21.53
detached,OR,OR,13.25
detached,OR,NR,0.0
detached,OR,UF,16.56
detached,NR,MR,4.14
detached,NR,OR,0.0
detached,NR,NR,12.42
detached,NR,UF,21.53
