building_type,part,region,u_value
detached,roof,1,0.17
detached,roof,2,0.17
detached,roof,3,0.24
detached,roof,4,0.24
detached,roof,5,0.24
detached,roof,6,0.24
detached,roof,7,0.24
detached,roof,8,0.99
detached,wall,1,0.35
detached,wall,2,0.35
detached,wall,3,0.53
detached,wall,4,0.53
detached,wall,5,0.53
detached,wall,6,0.53
detached,wall,7,0.53
detached,wall,8,2.323
detached,floor,1,0.24
detached,floor,2,0.24
detached,floor,3,0.24
detached,floor,4,0.34
detached,floor,5,0.34
detached,floor,6,0.34
detached,floor,7,0.34
detached,floor,8,2.673
detached,uf_wall,1,0.27
detached,uf_wall,2,0.27
detached,uf_wall,3,0.27
detached,uf_wall,4,0.52
detached,uf_wall,5,0.52
detached,uf_wall,6,0.52
detached,uf_wall,7,0.52
detached,uf_wall,8,4.443
detached,uf_perimeter,1,1.01
detached,uf_perimeter,2,1.01
detached,uf_perimeter,3,1.01
detached,uf_perimeter,4,1.05
detached,uf_perimeter,5,1.05
detached,uf_perimeter,6,1.05
detached,uf_perimeter,7,1.05
detached,uf_perimeter,8,1.05
apartment,roof_ex,1,0.38
apartment,roof_ex,2,0.38
apartment,roof_ex,3,0.55
apartment,roof_ex,4,0.75
apartment,roof_ex,5,0.92
apartment,roof_ex,6,0.92
apartment,roof_ex,7,0.92
apartment,roof_ex,8,1.18
apartment,roof_in,1,3.653
apartment,roof_in,2,3.653
apartment,roof_in,3,3.653
apartment,roof_in,4,3.653
apartment,roof_in,5,3.653
apartment,roof_in,6,3.653
apartment,roof_in,7,3.653
apartment,roof_in,8,3.653
apartment,wall_ex,1,0.47
apartment,wall_ex,2,0.47
apartment,wall_ex,3,0.7
apartment,wall_ex,4,0.97
apartment,wall_ex,5,0.97
apartment,wall_ex,6,0.97
apartment,wall_ex,7,0.97
apartment,wall_ex,8,4.273
apartment,wall_in,1,4.273
apartment,wall_in,2,4.273
apartment,wall_in,3,4.273
apartment,wall_in,4,4.273
apartment,wall_in,5,4.273
apartment,wall_in,6,4.273
apartment,wall_in,7,4.273
apartment,wall_in,8,4.273
apartment,floor,1,0.44
apartment,floor,2,0.44
apartment,floor,3,0.61
apartment,floor,4,0.81
apartment,floor,5,0.98
apartment,floor,6,0.98
apartment,floor,7,0.98
apartment,floor,8,2.54
apartment,roof,1,0.38
apartment,roof,2,0.38
apartment,roof,3,0.55
apartment,roof,4,0.75
apartment,roof,5,0.92
apartment,roof,6,0.92
apartment,roof,7,0.92
apartment,roof,8,1.18
apartment,wall,1,0.47
apartment,wall,2,0.47
apartment,wall,3,0.7
apartment,wall,4,0.97
apartment,wall,5,0.97
apartment,wall,6,0.97
apartment,wall,7,0.97
apartment,wall,8,4.273
detached,window,1,2.3
detached,window,2,2.3
detached,window,3,2.3
detached,window,4,3.5
detached,window,5,4.7
detached,window,6,4.7
detached,window,7,4.7
detached,window,8,6.516
detached,door,1,2.3
detached,door,2,2.3
detached,door,3,2.3
detached,door,4,3.5
detached,door,5,4.7
detached,door,6,4.7
detached,door,7,4.7
detached,door,8,6.516
apartment,window,1,2.3
apartment,window,2,2.3
apartment,window,3,2.3
apartment,window,4,3.5
apartment,window,5,4.7
apartment,window,6,4.7
apartment,window,7,4.7
apartment,window,8,6.516
apartment,door,1,2.3
apartment,door,2,2.3
apartment,door,3,2.3
apartment,door,4,3.5
apartment,door,5,4.7
apartment,door,6,4.7
apartment,door,7,4.7
apartment,door,8,6.516
