building_type,part,order,name,role,d,lambda,c,R,C
detached,wall,0,Ri,surface,,,,0.11,0.0
detached,wall,1,gypsum_board,material,0.01,0.22,830,0.047,8.638
detached,wall,2,air_gap,air,,,,0.07,0.0
detached,wall,3,glasswool_16K,insulation,,0.045,13,,
detached,wall,4,plywood,material,0.012,0.16,720,0.075,8.64
detached,wall,5,cement_board,material,0.013,0.15,1000,0.088,13.235
detached,wall,6,Ro,surface,,,,0.04,0.0
detached,roof,0,Ri,surface,,,,0.09,0.0
detached,roof,1,gypsum_board,material,0.01,0.22,830,0.047,8.638
detached,roof,2,glasswool_10K,insulation,,0.05,8,,
detached,roof,3,Ro,surface,,,,0.09,0.0
detached,floor,0,Ri,surface,,,,0.15,0.0
detached,floor,1,plywood,material,0.012,0.16,720,0.075,8.64
detached,floor,2,glasswool_16K,insulation,,0.045,13,,
detached,floor,3,Ro,surface,,,,0.15,0.0
detached,inner_floor,0,Ri,surface,,,,0.15,0.0
detached,inner_floor,1,plywood,material,0.022,0.16,720,0.138,15.84
detached,inner_floor,2,air_gap,air,,,,0.07,0.0
detached,inner_floor,3,gypsum_board,material,0.095,0.22,830,0.432,78.85
detached,inner_floor,4,Ro,surface,,,,0.09,0.0
detached,uf_wall,0,Ri,surface,,,,0.11,0.0
detached,uf_wall,1,phenolic_foam,insulation,,0.022,77,,
detached,uf_wall,2,concrete,material,0.12,1.6,2000,0.075,240.0
detached,uf_wall,3,Ro,surface,,,,0.04,0.0
detached,ground_floor,0,Ri,surface,,,,0.15,0.0
detached,ground_floor,1,concrete,material,0.12,1.6,2000,0.075,240.0
apartment,wall,0,Ri,surface,,,,0.11,0.0
apartment,wall,1,urethane_foam_A1,insulation,,0.034,61,,
apartment,wall,2,concrete,material,0.135,1.6,2000,0.084,270.0
apartment,wall,3,Ro,surface,,,,0.04,0.0
apartment,wall_in,0,Ri,surface,,,,0.11,0.0
apartment,wall_in,1,concrete,material,0.135,1.6,2000,0.084,270.0
apartment,wall_in,2,Ro,surface,,,,0.04,0.0
apartment,roof,0,Ri,surface,,,,0.09,0.0
apartment,roof,1,urethane_foam_2_1,insulation,,0.023,60,,
apartment,roof,2,concrete,material,0.15,1.6,2000,0.094,300.0
apartment,roof,3,Ro,surface,,,,0.09,0.0
apartment,roof_in,0,Ri,surface,,,,0.09,0.0
apartment,roof_in,1,concrete,material,0.15,1.6,2000,0.094,300.0
apartment,roof_in,2,Ro,surface,,,,0.09,0.0
apartment,floor_in,0,Ri,surface,,,,0.15,0.0
apartment,floor_in,1,concrete,material,0.15,1.6,2000,0.094,300.0
apartment,floor_in,2,Ro,surface,,,,0.15,0.0
apartment,floor,0,Ri,surface,,,,0.15,0.0
apartment,floor,1,concrete,material,0.15,1.6,2000,0.094,300.0
apartment,floor,2,Ro,surface,,,,0.15,0.0
detached,partition,0,Ri,surface,,,,0.11,0.0
detached,partition,1,gypsum_board,material,0.012,0.22,830,0.0555,9.96
detached,partition,2,air_gap,air,,,,0.07,0.0
detached,partition,3,gypsum_board,material,0.012,0.22,830,0.0555,9.96
detached,partition,4,Ro,surface,,,,0.11,0.0
apartment,partition,0,Ri,surface,,,,0.11,0.0
apartment,partition,1,gypsum_board,material,0.012,0.22,830,0.0555,9.96
apartment,partition,2,air_gap,air,,,,0.07,0.0
apartment,partition,3,gypsum_board,material,0.012,0.22,830,0.0555,9.96
apartment,partition,4,Ro,surface,,,,0.11,0.0
